id,__latitude,__longitude,country,country__shape,country__colour,year,year__shape,year__colour,haplotype,haplotype__shape,haplotype__colour
10060_5_2_Cam003680_2012,13,105,Cambodia,circle,#FFD700,2012,square,#0000FF,H58,triangle,#FF0000
10060_5_3_Cam002432_2012,13,105,Cambodia,circle,#FFD700,2012,square,#0000FF,H58,triangle,#FF0000
10060_5_4_Cam019648_2012,13,105,Cambodia,circle,#FFD700,2012,square,#0000FF,H58,triangle,#FF0000
10060_5_5_Cam010389_2012,13,105,Cambodia,circle,#FFD700,2012,square,#0000FF,H58,triangle,#FF0000
10060_5_87_Ban1102_2011,24,90,Bangladesh,circle,#FF0000,2011,square,#1E90FF,H58,triangle,#FF0000
10060_5_88_Ban1154_2011,24,90,Bangladesh,circle,#FF0000,2011,square,#1E90FF,H58,triangle,#FF0000
10060_5_89_Ban1404_2011,24,90,Bangladesh,circle,#FF0000,2011,square,#1E90FF,H58,triangle,#FF0000
10060_5_90_Ban1499_2011,24,90,Bangladesh,circle,#FF0000,2011,square,#1E90FF,H58,triangle,#FF0000
10060_5_91_Ban1553_2011,24,90,Bangladesh,circle,#FF0000,2011,square,#1E90FF,H58,triangle,#FF0000
10060_5_92_Ban1607_2011,24,90,Bangladesh,circle,#FF0000,2011,square,#1E90FF,H58,triangle,#FF0000
10060_5_93_Ban1703_2008,24,90,Bangladesh,circle,#FF0000,2008,square,#6495ED,H58,triangle,#FF0000
10060_5_94_Ban1707_2012,24,90,Bangladesh,circle,#FF0000,2012,square,#0000FF,H58,triangle,#FF0000
10060_6_28_LaoUI13823_2009,18,105,Laos,circle,#F0E68C,2009,square,#4682B4,H58,triangle,#FF0000
10060_6_31_LaoUI15075_2008,18,105,Laos,circle,#F0E68C,2008,square,#6495ED,H58,triangle,#FF0000
10060_6_33_LaoUI16704_2010,18,105,Laos,circle,#F0E68C,2010,square,#4169E1,H58,triangle,#FF0000
10060_6_36_LaoUI3398_2003,18,105,Laos,circle,#F0E68C,2003,square,#00FFFF,H58,triangle,#FF0000
10060_6_38_LaoUI3452_2003,18,105,Laos,circle,#F0E68C,2003,square,#00FFFF,H58,triangle,#FF0000
10060_6_39_LaoUI3492_2003,18,105,Laos,circle,#F0E68C,2003,square,#00FFFF,H58,triangle,#FF0000
10060_6_4_LaoLPB866_2008,18,105,Laos,circle,#F0E68C,2008,square,#6495ED,H58,triangle,#FF0000
10060_6_47_LaoUI3915_2003,18,105,Laos,circle,#F0E68C,2003,square,#00FFFF,H58,triangle,#FF0000
10060_6_49_LaoUI4389_2003,18,105,Laos,circle,#F0E68C,2003,square,#00FFFF,H58,triangle,#FF0000
10060_6_50_LaoUI4639_2003,18,105,Laos,circle,#F0E68C,2003,square,#00FFFF,H58,triangle,#FF0000
10060_6_54_LaoUI5106_2004,18,105,Laos,circle,#F0E68C,2004,square,#87CEEB,H58,triangle,#FF0000
10060_6_55_LaoUI5154_2004,18,105,Laos,circle,#F0E68C,2004,square,#87CEEB,H58,triangle,#FF0000
10060_6_71_Tan129-0242-M_2008,-6,35,Tanzania,circle,#4682B4,2008,square,#6495ED,H58,triangle,#FF0000
10060_6_72_Tan129-0289-M_2008,-6,35,Tanzania,circle,#4682B4,2008,square,#6495ED,H58,triangle,#FF0000
10060_6_75_Tan129-0327-M_2008,-6,35,Tanzania,circle,#4682B4,2008,square,#6495ED,H58,triangle,#FF0000
10060_6_77_Tan129-0268-M_2008,-6,35,Tanzania,circle,#4682B4,2008,square,#6495ED,H58,triangle,#FF0000
10060_6_78_Tan129-0339-M_2008,-6,35,Tanzania,circle,#4682B4,2008,square,#6495ED,H58,triangle,#FF0000
10060_6_79_Tan129-0303-M_2008,-6,35,Tanzania,circle,#4682B4,2008,square,#6495ED,H58,triangle,#FF0000
10060_6_80_Tan129-0257-M_2008,-6,35,Tanzania,circle,#4682B4,2008,square,#6495ED,H58,triangle,#FF0000
10060_6_81_Tan129-0230-K_2008,-6,35,Tanzania,circle,#4682B4,2008,square,#6495ED,H58,triangle,#FF0000
10060_6_82_Tan129-0254-M_2008,-6,35,Tanzania,circle,#4682B4,2008,square,#6495ED,H58,triangle,#FF0000
10060_6_83_Tan129-0238-M_2008,-6,35,Tanzania,circle,#4682B4,2008,square,#6495ED,H58,triangle,#FF0000
10060_6_85_IraqH062640481_2006,33,44,Iraq,circle,#A0522D,2006,square,#00BFFF,H58,triangle,#FF0000
10060_6_86_IraqH094620494_2009,33,44,Iraq,circle,#A0522D,2009,square,#4682B4,H58,triangle,#FF0000
10060_6_87_IraqH083520583_2008,33,44,Iraq,circle,#A0522D,2008,square,#6495ED,H58,triangle,#FF0000
10060_6_88_IraqH104280445_2010,33,44,Iraq,circle,#A0522D,2010,square,#4169E1,H58,triangle,#FF0000
10060_6_89_IraqH075080543_2007,33,44,Iraq,circle,#A0522D,2007,square,#B0C4DE,H58,triangle,#FF0000
10060_6_90_IraqH094420550_2009,33,44,Iraq,circle,#A0522D,2009,square,#4682B4,H58,triangle,#FF0000
10060_6_91_IraqH084140247_2008,33,44,Iraq,circle,#A0522D,2008,square,#6495ED,H58,triangle,#FF0000
10060_6_92_IraqH094320403_2009,33,44,Iraq,circle,#A0522D,2009,square,#4682B4,H58,triangle,#FF0000
10060_6_93_IraqH084260341_2008,33,44,Iraq,circle,#A0522D,2008,square,#6495ED,H58,triangle,#FF0000
10071_3_1_Ban1738_2012,24,90,Bangladesh,circle,#FF0000,2012,square,#0000FF,H58,triangle,#FF0000
10071_3_11_BanTY107_2012,24,90,Bangladesh,circle,#FF0000,2012,square,#0000FF,H58,triangle,#FF0000
10071_3_13_BanTY121_2012,24,90,Bangladesh,circle,#FF0000,2012,square,#0000FF,H58,triangle,#FF0000
10071_3_14_BanTY132_2012,24,90,Bangladesh,circle,#FF0000,2012,square,#0000FF,H58,triangle,#FF0000
10071_3_17_BanTY529_2012,24,90,Bangladesh,circle,#FF0000,2012,square,#0000FF,H58,triangle,#FF0000
10071_3_19_BanTY585_2012,24,90,Bangladesh,circle,#FF0000,2012,square,#0000FF,H58,triangle,#FF0000
10071_3_2_Ban1877_2012,24,90,Bangladesh,circle,#FF0000,2012,square,#0000FF,H58,triangle,#FF0000
10071_3_20_BanTY589_2012,24,90,Bangladesh,circle,#FF0000,2012,square,#0000FF,H58,triangle,#FF0000
