id,dummy_bar_value
CS14_Brazil_2001,5
CS2_Brazil_1997,10
CS20_Brazil_2002,2
CS6_Brazil_2000,7
CS7_Brazil_2000,8
373_Cameroun_1973,10
32222_Cuba_2003,7
54185_Denmark_1945,2
20061758_Dominican,6
20051272_Egypt_2005,1
20060018_Egypt_2006,7
20061309_Egypt_2006,8
20062087_Egypt_Tunisia_2006,8
259_France_1959,2
476_France_1976,8
658_France_1958,9
1166_France_1966,3
1167_France_1967,4
1173_France_1973,2
1263_France_1963,7
1265_France_1965,2
1267_France_1967,10
1274_France_1974,4
1460_France_1960,9
1461_France_1961,4
1761_France_1961,5
2073_France_1973,9
2574_France_1974,4
4374_France_1974,10
4474_France_1974,1
8883_France_1983,3
54213_France_1945,7
998911_France_1999,8
IB48279_France_NA,9
pWR105_France_NA,1
2225_French,4
988743_French,3
10014_HCMC_2009,10
10021_HCMC_2009,1
10031_HCMC_2009,4
10035_HCMC_2009,3
10060_HCMC_2009,2
10063_HCMC_2009,2
10071_HCMC_2009,10
10073_HCMC_2009,2
10083_HCMC_2009,8
10093_HCMC_2009,6
10102_HCMC_2009,5
10111_HCMC_2009,4
10115_HCMC_2009,3
10134_HCMC_2009,7
10135_HCMC_2009,5
10152_HCMC_2009,9
10159_HCMC_2009,9
10188_HCMC_2009,2
10263_HCMC_2009,1
10320_HCMC_2010,5
10365_HCMC_2010,9
20006_HCMC_2009,5
20021_HCMC_2009,7
20023_HCMC_2009,9
20037_HCMC_2009,7
20070_HCMC_2009,3
20094_HCMC_2009,8
20228_HCMC_2009,3
20261_HCMC_2009,6
20263_HCMC_2009,3
20343_HCMC_2009,10
30003_HCMC_2009,1
30008_HCMC_2009,3
30010_HCMC_2009,1
30037_HCMC_2009,10
30054_HCMC_2009,5
30059_HCMC_2009,5
30071_HCMC_2009,7
30073_HCMC_2009,8
30100_HCMC_2009,8
30112_HCMC_2009,1
30124_HCMC_2009,8
30162_HCMC_2009,7
30164_HCMC_2009,7
30169_HCMC_2009,1
30172_HCMC_2009,2
30174_HCMC_2009,3
30233_HCMC_2009,2
30293_HCMC_2009,8
30366_HCMC_2009,10
30371_HCMC_2009,7
30387_HCMC_2010,8
30450_HCMC_2010,4
30451_HCMC_2010,2
DE0115_HCMC_2000,5
DE0127_HCMC_2000,10
DE0199_HCMC_2000,5
DE0248_HCMC_2000,3
DE0295_HCMC_2000,3
DE0303_HCMC_2000,6
DE0306_HCMC_2000,10
DE0330_HCMC_2000,5
DE0427_HCMC_2000,5
DE0477_HCMC_2000,2
DE0489_HCMC_2000,5
DE0490_HCMC_2000,5
DE0579_HCMC_2001,4
DE0611_HCMC_2001,1
DE0654_HCMC_2001,8
DE0655_HCMC_2001,8
DE0685_HCMC_2001,6
DE0816_HCMC_2001,7
DE0846_HCMC_2001,7
DE0885_HCMC_2001,4
DE0891_HCMC_2001,8
DE0900_HCMC_2001,2
DE0965_HCMC_2001,9
DE1063_HCMC_2002,7
DE1140_HCMC_2002,2
DE1150_HCMC_2002,2
DE1165_HCMC_2002,7
DE1191_HCMC_2002,9
DE1198_HCMC_2002,9
DE1208_HCMC_2002,2
DE1209_HCMC_2002,7
DE1256_HCMC_2002,1
DE1318_HCMC_2002,3
DE1336_HCMC_2002,2
DE1404_HCMC_2002,1
DE1486_HCMC_2002,2
EG0129_HCMC_2007,2
EG0159_HCMC_2007,3
EG0204_HCMC_2008,2
EG0255_HCMC_2008,1
EG0304_HCMC_2006,7
EG0309_HCMC_2006,1
EG0313_HCMC_2006,2
EG0315_HCMC_2006,4
EG0318_HCMC_2006,4
EG0352_HCMC_2007,7
EG0357_HCMC_2007,5
EG0362_HCMC_2007,5
EG0365_HCMC_2007,6
EG0369_HCMC_2007,3
EG0372_HCMC_2007,6
EG0373_HCMC_2007,8
EG0375_HCMC_2007,3
EG0379_HCMC_2007,5
EG0383_HCMC_2007,9
EG0385_HCMC_2007,5
EG0386_HCMC_2007,8
EG0388_HCMC_2007,7
EG0390_HCMC_2007,10
EG0392_HCMC_2007,6
EG0393_HCMC_2007,4
EG0394_HCMC_2007,8
EG0395_HCMC_2007,3
EG0401_HCMC_2007,2
EG0404_HCMC_2007,10
EG0410_HCMC_2007,4
EG0425_HCMC_2008,7
EG0430_HCMC_2008,7
EG0451_HCMC_2008,9
EG0467_HCMC_2008,4
EG0472_HCMC_2008,8
EG1001_HCMC_2008,9
EG1004_HCMC_2008,5
EG1008_HCMC_2008,10
EG1014_HCMC_2009,4
EG1015_HCMC_2009,3
EG1016_HCMC_2009,4
EG1017_HCMC_2009,10
EG1018_HCMC_2009,10
EG1019_HCMC_2009,9
EG1020_HCMC_2009,8
EG1021_HCMC_2009,4
EG1022_HCMC_2009,5
EG1023_HCMC_2009,6
EG1024_HCMC_2009,6
EG1025_HCMC_2009,9
EG1026_HCMC_0,7
EG1027_HCMC_0,6
EG1028_HCMC_0,5
EG1029_HCMC_0,4
HUE01_HCMC_2008,1
HUE02_HCMC_2008,3
HUE05_HCMC_2008,7
HUE16_HCMC_2009,7
HUE17_HCMC_2009,5
HUE19_HCMC_2009,5
HUE20_HCMC_2009,10
HUE21_HCMC_2009,6
HUE22_HCMC_2009,1
HUE23_HCMC_2009,10
HUE24_HCMC_2009,8
HUE25_HCMC_2009,1
HUE26_HCMC_2009,8
HUE27_HCMC_2009,3
HUE29_HCMC_2009,10
HUE30_HCMC_2009,9
HUE31_HCMC_2009,2
HUE32_HCMC_2009,6
HUE33_HCMC_2009,7
HUE34_HCMC_2009,1
HUE40_HCMC_2009,2
HUE42_HCMC_2009,2
HUE43_HCMC_2009,1
HUE46_HCMC_2009,5
HUE47_HCMC_2009,4
HUE48_HCMC_2009,4
HUE50_HCMC_2009,6
HUE53_HCMC_2010,1
HUE55_HCMC_2010,7
HUE57_HCMC_2010,1
HUE58_HCMC_2010,6
HUE60_HCMC_2010,6
HUE62_HCMC_2010,6
HUE64_HCMC_2010,4
HUE67_HCMC_2010,3
HUE68_HCMC_2010,2
KH02_HCMC_2009,8
KH04_HCMC_2009,3
KH05_HCMC_2009,7
KH06_HCMC_2009,10
KH07_HCMC_2009,10
KH09_HCMC_2009,3
KH10_HCMC_2009,5
KH11_HCMC_2009,1
KH12_HCMC_2009,6
KH13_HCMC_2009,9
KH14_HCMC_2009,10
KH15_HCMC_2009,4
KH16_HCMC_2009,5
KH17_HCMC_2009,4
KH18_HCMC_2009,6
KH19_HCMC_2009,8
KH20_HCMC_2009,3
KH21_HCMC_2009,2
KH23_HCMC_2009,4
KH24_HCMC_2009,5
KH25_HCMC_2009,9
KH26_HCMC_2009,3
KH27_HCMC_2009,7
KH28_HCMC_2009,9
KH29_HCMC_2009,3
KH30_HCMC_2009,9
KH32_HCMC_2009,8
KH33_HCMC_2009,7
KH34_HCMC_2009,5
KH35_HCMC_2009,10
KH37_HCMC_2009,3
KH38_HCMC_2009,4
KH40_HCMC_2009,6
KH41_HCMC_2009,9
KH42_HCMC_2010,6
KH43_HCMC_2010,7
KH45_HCMC_2010,2
KH53_HCMC_2010,6
KH54_HCMC_2010,1
KH55_HCMC_2010,2
KH57_HCMC_2010,8
MS0004_HCMC_1995,5
MS0011_HCMC_1995,4
MS0032_HCMC_1995,9
MS0034_HCMC_1995,9
MS0035_HCMC_1995,4
MS0039_HCMC_1995,2
MS0042_HCMC_1995,4
MS0043_HCMC_1995,5
MS0048_HCMC_1995,7
MS0063_HCMC_1995,5
MS0065_HCMC_1995,5
MS0069_HCMC_1995,6
MS0070_HCMC_1995,7
MS0080_HCMC_1995,10
MS0083_HCMC_1996,3
MS0094_HCMC_1996,2
MS0102_HCMC_1996,8
MS0110_HCMC_1996,6
MS0111_HCMC_1996,3
MS0119_HCMC_1996,9
MS0122_HCMC_1996,4
MS0127_HCMC_1996,7
MS0128_HCMC_1996,10
