id,location,name,country,year,
CS14_Brazil_2001,other,CS14,Brazil,2001,
CS2_Brazil_1997,other,CS2,Brazil,1997,
CS20_Brazil_2002,other,CS20,Brazil,2002,
CS6_Brazil_2000,other,CS6,Brazil,2000,
CS7_Brazil_2000,other,CS7,Brazil,2000,
373_Cameroun_1973,other,373,Cameroun,1973,
32222_Cuba_2003,other,32222,Cuba,2003,
54185_Denmark_1945,other,54185,Denmark,1945,
20061758_Dominican,other,20061758,Dominican,,
20051272_Egypt_2005,other,20051272,Egypt,2005,
20060018_Egypt_2006,other,20060018,Egypt,2006,
20061309_Egypt_2006,other,20061309,Egypt,2006,
20062087_Egypt_Tunisia_2006,other,20062087,Egypt,Tunisia,2006
259_France_1959,other,259,France,1959,
476_France_1976,other,476,France,1976,
658_France_1958,other,658,France,1958,
1166_France_1966,other,1166,France,1966,
1167_France_1967,other,1167,France,1967,
1173_France_1973,other,1173,France,1973,
1263_France_1963,other,1263,France,1963,
1265_France_1965,other,1265,France,1965,
1267_France_1967,other,1267,France,1967,
1274_France_1974,other,1274,France,1974,
1460_France_1960,other,1460,France,1960,
1461_France_1961,other,1461,France,1961,
1761_France_1961,other,1761,France,1961,
2073_France_1973,other,2073,France,1973,
2574_France_1974,other,2574,France,1974,
4374_France_1974,other,4374,France,1974,
4474_France_1974,other,4474,France,1974,
8883_France_1983,other,8883,France,1983,
54213_France_1945,other,54213,France,1945,
998911_France_1999,other,998911,France,1999,
IB48279_France_NA,other,IB48279,France,NA,
pWR105_France_NA,other,pWR105,France,NA,
2225_French,other,2225,French,,
988743_French,other,988743,French,,
10014_HCMC_2009,HCMC,10014,HCMC,2009,
10021_HCMC_2009,HCMC,10021,HCMC,2009,
10031_HCMC_2009,HCMC,10031,HCMC,2009,
10035_HCMC_2009,HCMC,10035,HCMC,2009,
10060_HCMC_2009,HCMC,10060,HCMC,2009,
10063_HCMC_2009,HCMC,10063,HCMC,2009,
10071_HCMC_2009,HCMC,10071,HCMC,2009,
10073_HCMC_2009,HCMC,10073,HCMC,2009,
10083_HCMC_2009,HCMC,10083,HCMC,2009,
10093_HCMC_2009,HCMC,10093,HCMC,2009,
10102_HCMC_2009,HCMC,10102,HCMC,2009,
10111_HCMC_2009,HCMC,10111,HCMC,2009,
10115_HCMC_2009,HCMC,10115,HCMC,2009,
10134_HCMC_2009,HCMC,10134,HCMC,2009,
10135_HCMC_2009,HCMC,10135,HCMC,2009,
10152_HCMC_2009,HCMC,10152,HCMC,2009,
10159_HCMC_2009,HCMC,10159,HCMC,2009,
10188_HCMC_2009,HCMC,10188,HCMC,2009,
10263_HCMC_2009,HCMC,10263,HCMC,2009,
10320_HCMC_2010,HCMC,10320,HCMC,2010,
10365_HCMC_2010,HCMC,10365,HCMC,2010,
20006_HCMC_2009,HCMC,20006,HCMC,2009,
20021_HCMC_2009,HCMC,20021,HCMC,2009,
20023_HCMC_2009,HCMC,20023,HCMC,2009,
20037_HCMC_2009,HCMC,20037,HCMC,2009,
20070_HCMC_2009,HCMC,20070,HCMC,2009,
20094_HCMC_2009,HCMC,20094,HCMC,2009,
20228_HCMC_2009,HCMC,20228,HCMC,2009,
20261_HCMC_2009,HCMC,20261,HCMC,2009,
