id,gyrA,pEK204,CT-X-M-15,pEG356,CTX-M-14,colicinPlasmid1,pMG828-3
KH09_HCMC_2009,4,0,0,0,0,5,0
KH11_HCMC_2009,4,0,0,0,0,5,0
DE0579_HCMC_2001,4,0,0,0,0,5,6
EG0159_HCMC_2007,4,0,0,0,0,5,6
KH54_HCMC_2010,4,0,0,0,0,5,6
EG0392_HCMC_2007,4,0,0,0,0,5,6
EG0372_HCMC_2007,4,0,0,0,0,5,6
KH02_HCMC_2009,4,0,0,0,0,5,6
EG0385_HCMC_2007,4,0,0,0,0,5,6
KH53_HCMC_2010,4,0,0,0,0,5,6
HUE58_HCMC_2010,4,0,0,0,0,5,6
EG0404_HCMC_2007,4,0,0,0,0,5,6
30010_HCMC_2009,4,0,0,0,0,5,6
KH27_HCMC_2009,4,0,0,14,15,5,6
KH20_HCMC_2009,4,0,0,14,15,5,6
KH26_HCMC_2009,4,0,0,14,15,5,6
KH24_HCMC_2009,4,0,0,14,15,5,6
KH15_HCMC_2009,4,0,0,0,0,5,6
KH18_HCMC_2009,4,0,0,0,0,5,6
KH23_HCMC_2009,4,0,0,0,0,5,6
20261_HCMC_2009,4,0,0,0,0,5,6
IB1997_Vietnam_2003,4,0,0,0,0,5,6
IB1987_Vietnam_2002,4,0,0,0,0,5,6
30293_HCMC_2009,4,7,8,14,15,5,0
KH55_HCMC_2010,4,0,0,0,0,5,0
10073_HCMC_2009,4,0,0,0,15,5,0
KH41_HCMC_2009,4,0,0,0,0,5,0
KH37_HCMC_2009,4,0,0,0,0,5,0
KH35_HCMC_2009,4,0,0,0,0,5,0
30450_HCMC_2010,4,0,0,0,0,5,0
DE1150_HCMC_2002,3,0,0,0,0,5,6
DE1336_HCMC_2002,3,0,0,0,0,5,6
DE1209_HCMC_2002,3,0,0,0,0,5,6
IB2024_Vietnam_2002,3,0,0,0,0,5,6
IB2026_Vietnam_2003,3,0,0,0,0,5,6
IB1995_Vietnam_2003,3,0,0,0,0,5,6
EG1015_HCMC_2009,2,7,8,0,0,0,0
10111_HCMC_2009,2,7,8,0,0,5,0
EG0129_HCMC_2007,2,0,0,0,0,5,0
EG0401_HCMC_2007,2,0,0,0,0,5,0
EG0383_HCMC_2007,2,0,0,0,0,5,0
EG0204_HCMC_2008,2,7,8,0,0,5,0
EG0255_HCMC_2008,2,0,0,0,0,5,0
30124_HCMC_2009,2,7,8,0,0,5,0
10115_HCMC_2009,2,7,8,0,0,5,0
10135_HCMC_2009,2,7,8,0,0,5,0
EG1001_HCMC_2008,2,7,8,0,0,5,0
EG1023_HCMC_2009,2,7,8,0,0,5,0
10134_HCMC_2009,2,7,8,0,0,5,0
10152_HCMC_2009,2,7,8,0,0,5,0
KH07_HCMC_2009,2,0,0,14,15,5,0
EG1008_HCMC_2008,2,7,8,0,0,5,0
EG1024_HCMC_2009,2,7,8,0,0,5,0
EG0393_HCMC_2007,2,0,0,0,0,5,0
20037_HCMC_2009,2,7,8,0,0,5,0
EG1004_HCMC_2008,2,7,8,0,0,5,0
KH10_HCMC_2009,2,0,0,0,0,5,0
KH19_HCMC_2009,2,0,0,14,15,5,0
30008_HCMC_2009,2,7,8,0,0,5,0
KH12_HCMC_2009,2,0,0,14,15,5,0
10083_HCMC_2009,2,7,8,0,0,5,0
30054_HCMC_2009,2,7,8,0,0,5,0
KH17_HCMC_2009,2,0,0,0,0,5,0
EG1025_HCMC_2009,2,7,8,0,0,5,0
KH21_HCMC_2009,2,0,0,0,0,5,0
10093_HCMC_2009,2,7,8,0,0,5,0
20070_HCMC_2009,2,7,8,0,0,5,0
30059_HCMC_2009,2,7,8,0,0,5,0
10102_HCMC_2009,2,7,8,0,0,5,0
20021_HCMC_2009,2,7,8,0,0,5,0
EG0430_HCMC_2008,2,7,8,0,0,5,0
EG0357_HCMC_2007,2,0,0,0,0,5,0
10159_HCMC_2009,2,7,8,0,0,5,0
KH30_HCMC_2009,2,0,0,14,15,5,0
20023_HCMC_2009,2,7,8,0,0,5,0
30037_HCMC_2009,2,7,8,0,0,5,0
30071_HCMC_2009,2,7,8,0,0,5,0
EG1026_HCMC_0,2,7,8,0,0,5,0
30100_HCMC_2009,2,7,8,0,0,5,0
20228_HCMC_2009,2,7,8,0,0,5,0
KH25_HCMC_2009,2,0,0,14,15,5,6
30371_HCMC_2009,2,7,8,0,0,5,6
KH05_HCMC_2009,2,0,0,0,0,5,6
KH06_HCMC_2009,2,0,0,14,15,5,6
20006_HCMC_2009,2,7,8,0,0,5,6
KH14_HCMC_2009,2,0,0,14,15,5,6
HUE55_HCMC_2010,2,0,0,0,0,5,6
EG0318_HCMC_2006,2,0,0,0,0,5,6
HUE29_HCMC_2009,2,0,0,0,0,5,6
HUE50_HCMC_2009,2,0,0,14,15,5,6
EG0315_HCMC_2006,2,0,0,0,0,5,6
EG0313_HCMC_2006,2,0,0,0,0,5,6
EG0467_HCMC_2008,2,0,0,0,0,5,6
KH04_HCMC_2009,2,0,0,14,15,5,6
KH43_HCMC_2010,2,7,0,14,15,5,6
EG0375_HCMC_2007,2,0,0,0,0,5,6
EG0365_HCMC_2007,2,0,0,0,0,5,6
EG0362_HCMC_2007,2,0,0,0,0,5,6
EG0369_HCMC_2007,2,0,0,0,0,5,6
30073_HCMC_2009,2,0,0,0,0,5,6
EG0394_HCMC_2007,2,0,0,0,0,5,6
EG0388_HCMC_2007,2,0,0,0,0,5,6
KH16_HCMC_2009,2,0,0,0,0,5,6
EG0395_HCMC_2007,2,7,8,0,0,5,6
EG0390_HCMC_2007,2,7,8,0,0,5,6
KH28_HCMC_2009,2,0,0,0,0,5,6
KH29_HCMC_2009,2,0,0,0,0,5,6
20094_HCMC_2009,2,0,0,0,15,5,6
KH13_HCMC_2009,2,0,0,0,0,5,6
HUE53_HCMC_2010,2,0,0,0,0,5,6
EG0309_HCMC_2006,2,0,0,0,0,5,6
EG0451_HCMC_2008,2,0,0,0,0,5,6
EG0425_HCMC_2008,2,0,0,0,0,5,6
30112_HCMC_2009,2,7,8,0,0,5,6
EG0472_HCMC_2008,2,7,8,0,0,5,6
HUE17_HCMC_2009,2,7,8,0,0,5,6
HUE22_HCMC_2009,2,7,8,0,0,5,6
KH45_HCMC_2010,2,7,8,0,15,5,6
10021_HCMC_2009,2,0,0,0,0,5,0
30366_HCMC_2009,2,0,0,0,0,5,0
KH33_HCMC_2009,2,0,0,0,0,5,0
KH40_HCMC_2009,2,0,0,0,15,5,0
KH32_HCMC_2009,2,0,0,14,15,5,0
KH34_HCMC_2009,2,0,0,14,15,5,0
30003_HCMC_2009,2,0,0,0,0,5,0
KH57_HCMC_2010,2,0,0,0,0,5,0
30451_HCMC_2010,2,0,0,0,0,5,0
HUE46_HCMC_2009,2,0,0,0,0,5,0
EG1017_HCMC_2009,2,7,8,0,0,5,0
EG1014_HCMC_2009,2,7,8,0,0,5,0
EG1018_HCMC_2009,2,7,8,0,0,5,0
EG1022_HCMC_2009,2,7,8,0,0,5,0
EG1019_HCMC_2009,2,7,8,0,0,5,0
10060_HCMC_2009,2,7,8,0,0,5,0
30174_HCMC_2009,2,7,8,0,0,5,0
EG1027_HCMC_0,2,7,8,0,0,5,0
10035_HCMC_2009,2,7,8,0,0,5,0
30162_HCMC_2009,2,7,8,0,0,5,0
10365_HCMC_2010,2,7,8,0,0,5,0
10320_HCMC_2010,2,7,8,0,0,5,0
20343_HCMC_2009,2,7,8,0,0,5,0
30164_HCMC_2009,2,7,8,0,0,5,0
EG1028_HCMC_0,2,7,8,0,0,5,0
EG1016_HCMC_2009,2,7,8,0,0,5,0
30172_HCMC_2009,2,7,8,0,0,5,0
HUE20_HCMC_2009,2,7,8,0,0,5,0
10063_HCMC_2009,2,7,8,0,0,5,0
10014_HCMC_2009,2,7,8,0,0,5,0
EG1020_HCMC_2009,2,7,8,0,0,5,0
EG1021_HCMC_2009,2,7,8,0,0,5,0
HUE19_HCMC_2009,2,7,8,0,0,5,0
20263_HCMC_2009,2,7,8,0,0,5,0
30169_HCMC_2009,2,7,8,0,0,5,0
EG1029_HCMC_0,2,7,8,0,0,5,0
30387_HCMC_2010,2,7,8,0,0,5,0
KH38_HCMC_2009,2,7,8,0,0,5,0
30233_HCMC_2009,2,7,8,0,0,5,0
10188_HCMC_2009,2,7,8,0,0,5,0
10263_HCMC_2009,2,7,8,0,0,5,0
DE0303_HCMC_2000,0,0,0,0,0,5,6
DE0816_HCMC_2001,0,0,0,0,0,5,6
DE0248_HCMC_2000,0,0,0,0,0,5,6
DE0685_HCMC_2001,0,0,0,0,0,5,6
DE0611_HCMC_2001,0,0,0,0,15,5,6
DE0489_HCMC_2000,0,0,0,0,0,5,6
DE0477_HCMC_2000,0,0,0,0,0,5,6
MS0110_HCMC_1996,0,0,0,0,0,5,6
DE0654_HCMC_2001,0,0,0,0,0,5,6
DE0900_HCMC_2001,0,0,0,0,0,5,6
DE0965_HCMC_2001,0,0,0,0,0,5,6
DE1140_HCMC_2002,0,0,0,0,0,5,6
DE0846_HCMC_2001,0,0,0,0,0,5,6
IB2008_Vietnam_2003,0,0,0,0,0,5,6
IB2000_Vietnam_2003,0,0,0,0,0,5,6
DE1318_HCMC_2002,0,0,0,0,0,5,6
MS0128_HCMC_1996,0,0,0,0,0,5,6
DE0127_HCMC_2000,0,0,0,0,0,5,6
DE1256_HCMC_2002,0,0,0,0,0,5,6
DE0115_HCMC_2000,0,0,0,0,0,5,6
DE0427_HCMC_2000,0,0,0,0,0,5,6
DE0295_HCMC_2000,0,0,0,0,0,5,6
IB2004_Vietnam_2003,0,0,0,0,0,5,6
IB1970_Vietnam_2001,0,0,0,0,0,5,6
IB2009_Vietnam_2003,0,0,0,0,0,5,6
